retweet_count,mention_count,follower_count,verified,tweet_length,username_length,hashtag_count,has_hashtag,account_age_days
34,5,1748,1,63,9,4,1,1157
52,2,8353,1,46,14,5,1,284
19,4,1966,1,66,9,5,1,681
97,0,732,1,47,10,2,1,629
20,5,8483,0,79,16,0,0,589
87,3,1918,1,54,7,1,1,849
51,0,2540,0,58,10,5,1,1137
65,1,7712,0,41,10,3,1,835
73,0,4440,0,58,9,5,1,966
51,5,823,1,44,11,2,1,117
11,2,2197,0,72,8,1,1,1063
92,1,4189,1,81,6,3,1,1086
25,2,7442,1,70,10,0,0,422
6,4,9362,0,67,7,3,1,624
10,1,6976,0,48,10,4,1,540
14,1,8902,1,72,8,1,1,1211
76,0,7346,0,76,10,1,1,830
72,0,3183,1,63,11,3,1,16
35,3,9422,1,70,6,1,1,1047
89,3,1800,0,52,11,1,1,829
89,2,5759,0,76,6,4,1,60
2,2,9113,1,57,14,5,1,95
100,2,8759,1,57,13,3,1,867
44,3,6315,0,88,9,5,1,723
18,1,9649,0,45,6,5,1,806
73,1,8997,0,40,8,2,1,111
86,5,8550,1,44,13,2,1,1063
70,3,6598,1,50,11,4,1,761
64,4,6411,0,68,12,0,0,402
65,3,2560,0,95,11,3,1,1045
6,5,2427,1,67,5,0,0,688
92,1,6811,1,73,13,4,1,5
57,5,7495,1,36,9,4,1,156
39,2,2415,1,62,14,1,1,1029
83,3,7270,0,67,6,0,0,455
41,0,4225,0,78,12,4,1,135
55,5,3614,1,67,10,2,1,1048
81,4,1635,1,52,10,0,0,1057
76,1,4522,0,72,6,2,1,1138
16,3,6963,0,67,12,0,0,945
18,4,6403,1,59,13,5,1,291
9,3,8380,0,53,13,2,1,1042
25,3,5069,0,57,7,3,1,905
95,1,2891,0,74,13,5,1,1106
43,3,8483,0,36,6,1,1,316
88,2,4470,1,92,9,2,1,70
77,4,8561,1,86,13,4,1,480
43,1,8950,0,40,8,1,1,627
70,1,4062,1,55,13,3,1,940
78,2,4405,1,54,10,3,1,611
55,2,5768,1,74,8,3,1,660
7,2,4304,0,42,12,4,1,299
5,1,7430,1,77,8,2,1,835
10,3,4748,1,45,9,0,0,788
3,5,5111,1,71,16,4,1,732
69,4,4304,0,79,9,5,1,944
73,0,2816,0,71,6,0,0,240
16,0,2535,1,74,7,2,1,663
4,5,1564,0,66,11,0,0,93
72,2,6742,0,81,11,4,1,106
93,3,8105,1,46,13,2,1,1094
59,1,7846,1,59,8,0,0,880
51,4,2476,0,86,8,2,1,245
96,0,2918,1,54,16,4,1,506
48,4,3200,0,81,12,5,1,524
95,3,2073,1,55,5,2,1,246
31,0,4729,1,77,11,4,1,868
36,5,5375,1,60,16,0,0,629
86,5,2553,0,81,14,1,1,169
14,4,543,0,91,13,5,1,946
83,2,4567,0,43,8,5,1,73
31,3,2212,1,51,6,4,1,236
65,2,2631,1,48,14,2,1,118
72,2,1423,0,61,11,5,1,250
97,2,6542,0,69,9,5,1,234
60,3,6160,0,46,9,4,1,37
73,4,6635,0,66,10,3,1,735
28,3,2902,0,84,7,3,1,416
99,1,7208,0,57,11,4,1,63
98,5,8423,1,81,13,1,1,688
62,5,2421,0,53,5,3,1,1048
31,4,8085,0,74,6,3,1,706
80,1,9856,0,77,9,5,1,791
79,1,7284,0,57,11,5,1,899
60,2,184,0,44,7,1,1,1184
19,1,5686,1,72,10,3,1,874
32,0,1535,1,81,5,4,1,761
86,4,7236,1,48,9,0,0,679
8,2,9318,0,36,7,1,1,151
47,3,6039,1,56,9,0,0,1005
42,0,7815,0,56,11,1,1,538
56,1,7525,0,38,5,4,1,1214
77,2,4463,1,50,15,2,1,123
47,2,3551,0,82,7,1,1,332
50,2,1762,1,44,9,1,1,1173
97,2,6747,0,75,8,4,1,426
49,4,4905,1,67,19,3,1,271
3,4,3321,0,69,13,0,0,885
65,3,3744,0,56,6,0,0,1220
81,0,5477,0,49,10,0,0,136
86,3,5227,1,98,11,2,1,828
62,4,9421,1,57,4,2,1,699
48,3,3824,1,54,11,3,1,557
71,2,6219,1,71,5,0,0,767
78,1,2792,1,52,12,3,1,455
85,4,8955,0,60,16,3,1,381
88,0,3565,0,44,15,3,1,707
79,1,990,1,51,14,3,1,898
27,3,5343,0,53,11,3,1,1168
18,0,4711,0,37,12,5,1,275
31,3,7164,1,48,15,4,1,359
6,0,5996,1,70,8,1,1,466
44,1,3304,1,38,13,2,1,789
62,1,939,1,48,14,4,1,35
12,0,9606,1,80,9,0,0,851
0,0,7421,0,92,11,3,1,781
83,5,1946,1,83,8,1,1,490
19,5,7292,1,53,10,1,1,873
71,2,9954,0,48,12,5,1,243
16,4,4451,1,75,10,1,1,0
45,5,9583,1,91,6,1,1,826
90,2,7363,1,54,12,1,1,302
66,5,7025,0,75,10,3,1,1129
90,1,3417,1,55,12,4,1,1240
29,1,8448,0,47,6,3,1,1225
10,3,8556,0,66,6,1,1,417
98,5,8151,1,40,9,1,1,381
99,1,6228,1,100,9,0,0,267
75,0,7407,0,37,8,5,1,1238
1,5,6811,1,60,12,2,1,218
83,5,8837,0,35,10,5,1,185
48,2,547,0,76,7,1,1,528
62,5,1373,0,76,5,2,1,654
38,4,9861,1,48,12,5,1,36
49,2,1947,0,95,16,4,1,833
26,1,8341,1,63,12,2,1,220
17,5,2256,0,87,7,5,1,890
94,5,1698,0,74,11,5,1,112
76,3,2773,0,50,6,1,1,1186
11,4,7732,1,39,11,4,1,285
14,4,6242,1,39,13,5,1,1106
97,2,7321,1,69,8,2,1,200
67,5,5981,0,70,6,0,0,72
11,1,3231,1,44,14,2,1,1160
52,0,1759,0,80,8,2,1,3
3,4,7168,1,39,6,5,1,9
68,1,1945,1,75,9,0,0,756
55,3,1518,1,82,13,1,1,638
16,2,1876,1,70,8,0,0,328
100,1,37,0,53,9,1,1,91
40,0,741,1,77,11,5,1,1009
81,0,4954,1,59,4,4,1,873
53,0,2408,1,46,7,3,1,41
62,2,2828,0,85,10,2,1,1029
19,4,5657,1,69,12,4,1,1209
77,5,7446,0,44,6,2,1,410
18,3,5399,0,52,13,1,1,377
45,2,7682,0,44,14,0,0,823
5,3,3740,1,41,16,2,1,1196
32,3,1336,1,51,10,0,0,749
50,2,6316,0,42,11,1,1,629
33,4,8617,1,70,12,4,1,695
97,0,4879,0,68,13,2,1,327
64,5,2202,1,84,9,0,0,42
7,1,5749,1,51,7,3,1,59
46,1,1534,0,88,10,0,0,630
61,1,9357,0,42,7,4,1,81
66,2,9452,0,48,10,3,1,762
100,4,7159,0,46,3,2,1,2
68,1,3436,0,59,12,5,1,988
64,2,4050,1,56,13,5,1,367
98,0,1735,0,72,14,3,1,27
69,2,5501,0,69,14,0,0,630
51,2,2213,1,44,9,4,1,558
87,5,4323,0,49,9,4,1,922
86,3,4797,1,83,8,5,1,455
49,1,448,1,58,13,1,1,306
56,5,1428,0,53,8,1,1,258
45,3,426,1,45,6,1,1,480
90,4,2324,0,88,12,5,1,78
16,5,9214,0,38,11,1,1,398
44,0,9728,0,55,7,2,1,460
28,2,5823,0,40,9,1,1,434
79,2,3896,0,48,6,0,0,1058
65,3,265,0,72,7,3,1,921
91,3,7128,1,61,14,4,1,1008
7,4,380,0,40,13,5,1,617
2,5,1829,0,60,10,3,1,118
34,1,1906,1,69,8,2,1,572
42,0,1429,1,81,9,2,1,962
11,2,5587,1,57,12,3,1,965
84,3,1816,0,88,6,3,1,1136
79,0,9602,1,40,7,4,1,72
23,5,8777,1,73,15,2,1,998
45,2,9287,1,80,7,1,1,746
82,1,9453,1,82,13,3,1,499
2,0,1407,0,59,5,2,1,1155
58,2,6097,1,73,5,2,1,1098
59,0,1188,1,53,15,5,1,555
29,4,9695,0,67,8,2,1,705
85,2,6812,0,79,9,0,0,1200
39,0,4794,0,86,13,5,1,920
4,4,5258,1,78,5,2,1,120
0,0,7872,1,59,5,0,0,441
86,3,6187,1,90,12,0,0,503
88,1,8683,0,47,10,4,1,1069
32,5,7792,1,42,11,3,1,333
76,3,6669,1,56,13,2,1,382
79,1,7709,1,61,16,2,1,1173
54,2,4786,0,76,6,0,0,917
59,3,4180,1,82,11,1,1,694
24,4,7010,1,84,7,0,0,235
30,0,3748,0,83,8,1,1,1242
35,3,7016,1,78,7,1,1,386
61,4,115,1,55,7,3,1,138
27,5,7526,0,58,9,0,0,1114
69,5,4436,1,40,8,4,1,694
59,5,8800,1,61,6,1,1,819
78,0,8443,0,76,9,2,1,1223
53,2,6152,0,42,9,1,1,597
15,4,326,1,68,14,2,1,474
72,5,2386,1,41,8,2,1,470
21,2,3984,0,49,12,4,1,567
57,0,3689,1,72,7,2,1,159
87,0,1889,0,43,5,5,1,955
79,2,2912,0,44,14,1,1,463
60,4,5986,0,70,8,1,1,869
81,4,4322,0,89,12,3,1,895
60,1,3262,0,70,8,5,1,353
63,2,4634,1,63,13,0,0,751
22,2,1152,0,79,9,4,1,704
25,3,7675,1,60,8,0,0,897
49,2,2114,1,76,5,5,1,707
48,4,6221,0,95,11,5,1,1186
66,4,7050,0,40,8,5,1,855
62,0,4926,0,87,7,0,0,99
75,0,8511,0,40,13,1,1,557
79,0,5083,1,41,8,5,1,482
55,3,4605,0,46,7,1,1,217
86,5,8775,0,50,9,1,1,571
35,3,464,0,54,7,4,1,1088
94,1,4210,1,62,12,2,1,1179
80,0,1297,1,37,11,4,1,30
76,5,678,0,55,8,5,1,314
6,0,5993,0,47,9,2,1,617
22,4,4647,0,77,13,3,1,638
100,2,6876,1,67,13,5,1,557
61,0,1430,1,92,6,5,1,1122
44,5,584,1,78,7,4,1,1038
57,5,415,1,65,6,3,1,863
73,1,8651,0,53,10,0,0,748
74,4,2626,0,77,14,4,1,449
57,2,1901,0,61,11,2,1,415
80,2,7654,0,52,14,3,1,82
10,3,7736,1,78,13,3,1,857
26,4,1105,1,56,11,0,0,1227
33,1,7108,0,71,14,3,1,1238
94,1,1426,1,91,11,0,0,767
82,2,920,0,86,10,2,1,1184
84,5,9346,1,54,8,3,1,370
24,4,1531,0,79,5,1,1,908
80,3,1584,0,69,7,0,0,189
23,5,4349,1,64,10,1,1,1072
96,2,3594,1,82,20,2,1,921
81,1,8596,1,48,10,5,1,253
85,2,8973,0,53,14,4,1,1021
27,5,6983,0,85,11,5,1,689
39,2,8717,1,81,17,3,1,1085
28,3,2534,1,56,7,3,1,519
35,3,5188,1,38,14,3,1,1093
69,5,9461,1,63,13,0,0,1122
76,2,9721,0,43,7,3,1,678
23,1,758,0,77,10,2,1,105
72,5,319,1,47,7,4,1,395
28,5,4252,0,75,9,5,1,870
28,0,5666,1,64,9,3,1,344
73,3,3687,1,39,13,4,1,1206
17,1,1348,0,63,7,3,1,663
81,0,5255,1,64,12,2,1,394
30,5,1019,0,66,7,5,1,511
71,2,3315,0,49,8,0,0,1162
49,5,5652,0,54,8,4,1,682
17,3,3523,0,44,9,3,1,353
33,5,2173,0,44,10,3,1,1063
74,5,7242,1,50,13,2,1,201
6,2,7552,1,50,14,1,1,296
11,2,9879,0,56,8,0,0,955
79,3,901,1,51,10,0,0,376
61,0,1826,0,71,12,4,1,18
89,1,1170,0,38,6,3,1,539
73,4,9334,0,39,12,0,0,692
77,2,5806,0,77,9,1,1,312
18,1,4684,0,60,12,5,1,986
8,3,562,0,78,8,0,0,682
61,3,8462,0,38,5,3,1,1096
77,2,7814,1,68,12,0,0,361
75,0,8373,1,69,9,2,1,911
71,5,6561,0,49,10,4,1,521
6,0,506,0,60,10,5,1,109
45,0,5879,0,43,7,4,1,433
0,4,7734,1,93,9,0,0,1013
6,1,6662,1,68,15,2,1,437
56,5,9388,1,35,9,1,1,54
80,1,2121,1,28,16,0,0,97
15,2,4669,1,73,7,5,1,1165
100,1,4530,0,65,14,4,1,164
87,4,1988,0,77,5,4,1,1081
63,0,2689,0,42,14,4,1,394
27,1,8792,1,43,9,2,1,403
3,2,4355,0,79,10,1,1,78
14,3,4682,1,77,12,4,1,422
84,5,9872,1,35,13,5,1,3
68,3,5042,1,87,7,0,0,618
65,3,7720,0,59,5,2,1,925
32,3,9488,0,86,12,4,1,1211
28,3,4047,1,49,7,4,1,1069
49,3,6352,1,73,6,1,1,1057
3,4,5587,0,65,6,4,1,1166
53,5,9654,0,85,6,3,1,475
25,2,707,1,39,6,0,0,536
92,5,8803,1,50,13,1,1,92
42,0,9735,1,55,8,2,1,416
3,5,9382,1,82,8,2,1,695
83,2,7493,1,39,13,2,1,1028
71,1,4525,1,55,8,4,1,612
72,5,4502,1,78,13,1,1,1199
57,2,9853,0,34,8,1,1,56
25,5,382,1,61,9,3,1,826
93,2,4165,0,43,13,1,1,1219
47,4,6942,0,87,7,4,1,534
41,2,3998,1,42,6,5,1,238
95,0,6974,1,74,7,4,1,901
28,0,7319,0,65,11,1,1,183
92,0,9332,0,82,7,5,1,1003
6,2,37,0,51,11,1,1,1023
33,4,5680,1,77,9,1,1,755
14,3,8763,0,55,7,0,0,1235
29,4,6261,1,93,16,1,1,480
15,0,7538,1,32,10,1,1,657
11,1,5433,0,75,9,1,1,938
44,2,3505,0,69,9,5,1,760
64,4,7906,0,82,10,4,1,516
17,0,8044,0,80,11,3,1,38
19,4,4892,1,92,12,1,1,415
94,5,6679,1,50,7,5,1,213
31,3,7151,1,61,12,2,1,85
77,1,8467,0,38,14,3,1,732
39,2,8772,0,37,11,0,0,423
20,3,4363,0,66,6,4,1,346
92,0,1377,1,59,11,1,1,562
100,0,1285,1,88,12,1,1,1119
37,5,8128,0,81,15,3,1,18
73,1,6881,0,57,9,1,1,647
40,1,4669,0,88,12,2,1,362
31,5,5620,0,67,6,3,1,1116
16,5,5570,1,48,5,1,1,87
42,0,7194,0,73,8,0,0,1158
20,1,7528,1,37,15,3,1,152
33,5,5083,0,78,10,2,1,248
67,2,8304,1,37,9,5,1,963
23,2,8134,0,67,12,3,1,196
76,5,1846,0,70,7,2,1,1146
11,2,1012,0,75,14,5,1,369
95,1,2549,1,53,12,1,1,136
18,5,1841,1,82,11,4,1,412
12,1,8772,0,77,7,4,1,4
7,5,141,1,85,11,0,0,805
78,3,6513,1,37,12,4,1,917
75,2,9390,1,55,7,3,1,1186
98,1,8340,1,78,8,0,0,1193
92,4,2164,1,50,13,3,1,245
35,4,5410,1,80,8,5,1,409
75,0,1758,1,92,9,1,1,207
98,0,2338,1,65,10,0,0,394
92,4,3145,1,69,13,5,1,982
33,0,4820,1,48,10,1,1,130
51,4,2949,0,39,12,1,1,190
13,1,9384,0,59,15,3,1,713
50,3,7418,0,59,8,0,0,675
17,0,991,1,71,12,1,1,119
99,0,9534,0,86,10,3,1,960
81,4,3417,1,65,9,0,0,355
68,5,2549,0,44,12,5,1,698
85,0,1997,0,93,12,2,1,185
80,4,1401,0,80,6,4,1,1199
20,0,8449,0,68,9,1,1,1140
58,5,3531,1,60,7,2,1,261
9,0,7866,0,49,15,3,1,316
94,5,4607,0,66,12,0,0,428
32,3,7913,0,86,7,1,1,59
21,2,6589,0,85,8,5,1,716
82,1,9876,1,51,6,5,1,338
31,5,3135,0,41,10,0,0,388
32,4,7450,0,68,6,4,1,1129
42,1,3779,0,51,5,0,0,0
94,4,800,1,49,15,0,0,921
40,1,6905,0,55,10,0,0,52
44,3,9667,0,50,8,1,1,406
13,5,8888,0,58,10,4,1,1074
70,0,427,1,60,5,1,1,478
5,1,704,0,70,8,1,1,675
6,0,6910,1,84,6,5,1,440
18,4,7880,0,46,12,0,0,1044
77,4,8786,1,98,10,0,0,400
24,0,982,0,91,9,0,0,704
71,4,9032,0,72,5,2,1,1157
96,3,9228,1,63,9,0,0,383
97,0,1148,1,84,11,4,1,78
77,0,3064,0,45,7,0,0,1152
16,2,3594,0,81,14,4,1,71
98,1,9522,1,70,9,4,1,546
58,2,6226,1,72,10,4,1,904
36,0,5679,1,83,7,0,0,1147
8,2,6068,1,66,14,5,1,986
8,2,9316,1,70,9,3,1,116
37,1,903,0,61,12,5,1,986
96,0,4908,0,72,6,1,1,1150
33,2,7540,1,84,9,2,1,668
9,0,5797,0,64,8,3,1,805
93,4,3304,1,39,6,0,0,1052
77,2,3627,1,89,12,0,0,228
49,3,3089,1,62,9,5,1,1156
2,1,460,0,84,17,1,1,11
84,3,574,0,37,8,4,1,903
90,0,4307,1,87,14,1,1,804
63,5,9083,1,46,12,0,0,1231
47,5,2306,0,74,9,4,1,98
99,2,2482,1,89,13,5,1,1111
0,0,6275,0,73,10,5,1,109
47,3,6108,1,74,11,1,1,799
68,0,4907,0,61,7,2,1,881
54,2,3360,1,79,7,3,1,247
12,0,5754,0,95,7,2,1,173
91,1,7802,1,75,6,4,1,1202
34,2,4499,0,70,6,2,1,1036
77,0,9020,1,79,7,4,1,856
76,4,8993,0,45,8,0,0,589
55,1,8951,1,42,11,5,1,1056
66,5,3161,1,89,12,2,1,775
89,4,9475,0,57,6,3,1,877
87,0,835,1,58,13,1,1,574
61,5,9658,1,45,13,0,0,336
4,0,2598,1,77,6,3,1,863
91,1,6984,1,88,5,2,1,560
54,4,6186,1,46,7,3,1,792
99,1,3243,1,72,11,1,1,5
12,2,6768,1,71,13,2,1,609
35,2,2431,0,58,12,1,1,635
63,4,1402,0,62,13,2,1,182
45,0,4478,1,67,7,0,0,188
53,4,9017,0,80,13,4,1,1131
22,1,7757,0,65,10,1,1,1151
38,1,9008,1,50,5,2,1,64
24,4,2861,1,40,14,5,1,473
24,4,4445,0,47,8,0,0,431
50,2,5119,0,63,8,4,1,166
28,3,3485,0,59,6,2,1,458
80,2,7964,1,45,15,1,1,447
48,0,7575,1,54,18,4,1,1216
51,0,5386,0,59,12,1,1,826
81,4,8753,0,54,12,2,1,870
12,4,9654,1,59,7,5,1,311
8,4,941,1,57,12,0,0,1245
2,3,5389,1,52,13,1,1,1213
10,2,526,0,54,14,0,0,821
16,1,9836,0,75,12,0,0,14
8,4,6055,1,39,11,0,0,1176
65,5,651,1,84,10,4,1,1213
66,0,9441,1,64,6,0,0,336
62,1,6566,0,88,11,3,1,344
29,3,6217,1,62,9,4,1,792
44,1,2147,0,81,9,5,1,808
40,5,5663,0,73,12,2,1,204
69,3,9739,0,63,5,5,1,949
62,2,2014,1,53,9,4,1,527
7,0,7654,0,78,10,1,1,1058
21,4,3337,1,87,7,4,1,515
18,5,4945,1,73,7,4,1,509
47,1,6011,1,44,11,4,1,1180
42,1,7215,0,76,15,3,1,542
2,2,333,0,45,10,3,1,744
84,1,2021,0,94,11,4,1,789
96,3,6172,0,69,9,0,0,295
77,1,5708,0,73,13,0,0,107
33,2,7900,1,66,7,5,1,348
98,5,8617,0,42,8,1,1,723
18,2,7316,0,81,10,3,1,1235
72,1,2733,0,74,7,3,1,320
82,5,6851,1,57,8,3,1,1177
58,2,6131,1,43,13,4,1,678
75,5,4184,0,47,13,2,1,223
62,3,8419,0,92,15,2,1,735
55,2,1489,1,68,11,4,1,82
83,3,4707,0,64,10,2,1,1219
13,5,2496,0,59,11,2,1,1041
91,2,3755,1,75,11,5,1,411
54,5,9190,0,49,7,0,0,738
17,0,9276,1,86,11,1,1,547
87,2,6397,1,66,12,4,1,7
69,0,4765,1,53,13,4,1,9
70,5,107,0,75,8,1,1,946
16,5,1318,0,44,14,2,1,474
81,4,4646,0,65,9,0,0,400
6,1,8174,0,47,14,3,1,184
45,0,3276,1,67,14,4,1,807
30,1,4262,1,78,6,2,1,384
30,1,4630,0,83,8,1,1,1073
12,2,5118,1,85,9,3,1,428
4,3,4185,0,78,10,2,1,1228
21,2,7115,1,81,9,2,1,260
64,2,1253,0,82,6,2,1,327
67,1,2108,0,65,14,3,1,254
29,3,7136,1,78,11,0,0,620
89,2,2978,1,58,11,0,0,1129
54,5,5683,0,48,7,5,1,936
19,0,6967,0,69,12,5,1,867
64,2,3141,1,63,8,0,0,407
73,3,6862,1,53,9,0,0,521
11,4,5779,0,79,7,5,1,1130
36,1,7989,1,75,11,2,1,199
89,5,4110,0,61,7,3,1,139
56,5,3960,0,39,12,4,1,91
19,2,3540,0,73,14,0,0,886
89,0,2253,0,62,15,4,1,845
81,1,8267,0,53,9,5,1,483
55,0,9091,1,45,13,3,1,579
29,0,1610,0,83,6,4,1,146
29,3,5497,0,61,4,4,1,411
14,3,296,1,46,8,2,1,416
44,4,1093,0,84,9,5,1,149
26,2,2548,0,63,12,5,1,743
64,4,9499,0,54,6,2,1,218
0,5,2180,1,100,7,2,1,753
29,1,725,1,62,20,5,1,12
29,3,3373,0,41,6,2,1,242
81,4,9679,0,80,11,5,1,157
36,4,545,0,39,9,0,0,250
76,4,8563,0,45,4,5,1,248
47,0,3074,1,42,13,4,1,1153
70,5,2122,0,56,8,5,1,722
40,5,5041,1,50,12,2,1,749
100,4,2399,1,66,9,5,1,376
69,3,8680,1,65,6,5,1,129
13,0,369,0,70,12,2,1,1004
83,2,537,1,76,6,3,1,524
96,5,1130,1,43,15,0,0,1175
64,3,3559,0,45,14,4,1,402
49,5,4098,1,59,9,3,1,130
60,5,3757,0,48,7,1,1,569
85,2,2229,1,89,9,2,1,37
42,1,3284,1,75,14,3,1,478
3,1,5664,1,59,11,1,1,1235
17,0,6566,1,71,7,4,1,128
27,5,1822,1,71,10,4,1,576
75,5,8256,1,46,7,4,1,358
18,3,9455,1,48,7,2,1,646
26,1,9237,0,49,9,4,1,1004
80,0,4440,0,52,10,4,1,888
4,3,1996,0,63,12,0,0,348
7,1,2626,1,51,11,1,1,767
93,2,5837,0,73,13,3,1,599
51,0,9706,0,40,11,0,0,1035
21,2,8427,0,81,7,4,1,254
79,3,2115,0,70,11,0,0,955
23,1,3395,0,51,8,2,1,1217
55,2,4587,1,83,6,2,1,1081
6,3,1739,1,66,10,3,1,409
58,5,1492,0,59,6,0,0,463
96,3,6588,0,89,6,2,1,264
49,3,6347,0,58,13,2,1,78
73,1,9648,1,71,13,3,1,1053
66,2,564,0,66,6,3,1,1012
100,4,1307,0,56,11,1,1,445
50,4,1501,0,46,7,1,1,373
44,4,77,0,45,13,4,1,177
28,4,5690,0,35,6,5,1,668
31,4,6290,0,50,17,5,1,289
11,0,5952,0,78,6,5,1,727
50,3,7669,0,52,7,1,1,535
17,5,7405,1,66,14,3,1,804
96,5,4232,0,79,10,4,1,676
21,1,3088,0,71,11,5,1,179
10,4,39,0,72,7,3,1,776
0,4,5919,1,39,14,5,1,988
83,0,7644,0,71,9,1,1,350
58,2,6646,1,58,8,4,1,670
70,5,5275,1,85,5,5,1,181
32,5,8097,0,82,9,0,0,2
26,3,326,1,43,12,4,1,1234
14,3,6521,0,95,12,1,1,731
37,2,8027,1,77,12,4,1,452
33,2,2942,1,59,10,5,1,943
99,0,5172,1,71,17,4,1,714
37,5,4049,1,75,12,2,1,67
69,5,6387,0,67,11,5,1,1234
32,2,3734,1,45,10,5,1,313
